Drug1,Drug2,Cell line,ID,ZIP,Bliss,Loewe,HSA
5-FU,ABT-888,A2058,2.5,2.585,8.85,-0.15749999999999997,8.129999999999999
5-FU,ABT-888,A2780,2334.5,8.445,9.3675,-2.0425,10.857500000000002
5-FU,ABT-888,A375,4642.5,-1.175,1.085,-22.982499999999998,-2.14
5-FU,ABT-888,A427,6902.5,-0.1324999999999999,-2.4125,-3.3925,4.6175
5-FU,ABT-888,ES2,18478.5,0.775,1.97,-13.002500000000001,0.6599999999999999
5-FU,ABT-888,HCT116,20810.5,5.5600000000000005,4.2299999999999995,-17.0875,5.32
5-FU,ABT-888,HT144,23038.5,-5.9025,-2.95,-11.280000000000001,-2.4075
5-FU,ABT-888,LNCAP,30034.5,-2.9274999999999998,-6.68,-12.9075,-0.9275000000000001
5-FU,ABT-888,LOVO,32130.5,-1.5425000000000002,-1.9625,-5.91,1.0899999999999999
5-FU,ABT-888,MDAMB436,34462.5,-6.9725,-2.6325,1.2325,3.4349999999999996
5-FU,ABT-888,MSTO,36794.5,-4.91,-8.105,-14.515,-2.58
5-FU,ABT-888,NCI-H460,45638.5,-0.7625000000000002,-3.5,-19.78,-1.9300000000000002
5-FU,ABT-888,NCIH1650,38822.5,-7.9575000000000005,-5.8325000000000005,-3.8049999999999997,-1.8949999999999996
5-FU,ABT-888,NCIH2122,41154.5,4.547499999999999,5.8225,-7.025,8.719999999999999
5-FU,ABT-888,NCIH23,43486.5,-3.2549999999999994,-2.355,-15.9225,-1.525
5-FU,ABT-888,NCIH520,47970.5,2.4699999999999998,3.075,-12.375,3.5775
5-FU,ABT-888,OCUBM,50302.5,-7.865,-2.27,-5.879999999999999,0.004999999999999893
5-FU,ABT-888,OV90,52634.5,-4.39,-2.875,-3.9,-3.1674999999999995
5-FU,ABT-888,OVCAR3,54966.5,-1.015,2.8325,0.37250000000000005,5.3775
5-FU,ABT-888,PA1,57298.5,7.744999999999999,8.434999999999999,-14.837500000000002,8.3925
5-FU,ABT-888,RKO,59630.5,-2.4875,-4.83,-12.4275,-1.1074999999999997
5-FU,ABT-888,RPMI7951,61962.5,-4.8475,-0.32499999999999996,-12.825000000000001,-1.3749999999999998
5-FU,ABT-888,SK-OV-3,68882.5,-0.9100000000000001,5.0575,-8.114999999999998,2.825
5-FU,ABT-888,SKMEL30,64218.5,-7.5249999999999995,-20.5275,-36.962500000000006,-21.9525
5-FU,ABT-888,SKMES1,66550.5,-1.3575,-1.6075,-9.955,-0.5274999999999999
5-FU,ABT-888,SW-620,71214.5,2.79,4.672499999999999,-10.767499999999998,4.3025
5-FU,ABT-888,SW837,73546.5,-9.715,-13.185,-14.9425,-9.9775
5-FU,ABT-888,T-47D,75878.5,0.48249999999999993,4.4125,-3.125,2.615
5-FU,ABT-888,UACC62,77982.5,-1.4575,0.8225000000000001,-11.8575,-2.425
5-FU,ABT-888,UWB1289,80314.5,-0.3650000000000001,3.745,3.72,6.875
5-FU,ABT-888,VCAP,84978.5,2.4825,5.435,-4.585000000000001,-1.0675
5-FU,AZD1775,A2058,6.5,9.817499999999999,11.2075,5.8374999999999995,14.0975
5-FU,AZD1775,A2780,2338.5,16.485,14.955,13.45,21.13
5-FU,AZD1775,A375,4646.5,4.675,3.76,-1.19,7.1450000000000005
5-FU,AZD1775,A427,6906.5,7.2475,6.16,3.9725,12.36
5-FU,AZD1775,ES2,18482.5,5.567500000000001,8.5825,4.695,10.9525
5-FU,AZD1775,HCT116,20814.5,7.8575,6.375,2.455,10.015
5-FU,AZD1775,HT144,23042.5,-1.935,1.2375,2.2649999999999997,5.3125
5-FU,AZD1775,LNCAP,30038.5,0.30250000000000044,-3.6624999999999996,0.1325000000000005,6.08
5-FU,AZD1775,LOVO,32134.5,-0.8649999999999999,-1.3800000000000001,-0.95,4.8225
5-FU,AZD1775,MDAMB436,34466.5,7.125,6.767499999999999,12.5375,15.837499999999999
5-FU,AZD1775,MSTO,36798.5,-12.175,-23.685,-26.21,-18.697499999999998
5-FU,AZD1775,NCI-H460,45642.5,6.38,4.655,2.8325,7.1975
5-FU,AZD1775,NCIH1650,38826.5,-4.16,-2.2275,0.35750000000000004,4.4825
5-FU,AZD1775,NCIH2122,41158.5,9.7975,7.795,3.8225,10.344999999999999
5-FU,AZD1775,NCIH23,43490.5,-1.1150000000000002,-2.175,-5.3075,3.5625
5-FU,AZD1775,NCIH520,47974.5,1.3699999999999999,0.4525000000000001,0.22750000000000004,5.8774999999999995
5-FU,AZD1775,OCUBM,50306.5,12.3925,12.12,6.7025,19.05
