Drug1,Drug2,Cell line,Cosmic sample Id,synergy,Tissue,log_synergy,predict,abs_error
VINBLASTINE,MRK-003,RPMI7951,910903,29.7486770643,skin,29.748676,29.75285,0.004173279
PACLITAXEL,L778123,RPMI7951,910903,8.491127572,skin,8.491128,8.495895,0.004767418
MK-8669,VINBLASTINE,RPMI7951,910903,20.0700000261,skin,20.07,20.074858,0.004858017
DEXAMETHASONE,ERLOTINIB,MDAMB436,1240172,-7.7297844741,breast,-7.7297845,-7.708533,0.021251678
DINACICLIB,PACLITAXEL,RPMI7951,910903,-4.0514718239,skin,-4.0514717,-4.0217514,0.029720306
BORTEZOMIB,DOXORUBICIN,SKMES1,909728,-19.8091281438,lung,-19.809128,-19.839891,0.030763626
5-FU,MK-4541,NCIH1650,687800,-1.112977951,lung,-1.112978,-1.0803807,0.032597303
SORAFENIB,BORTEZOMIB,NCIH1650,687800,-11.8976052277,lung,-11.897605,-11.864873,0.03273201
L778123,SORAFENIB,SKMEL30,909726,8.8579712117,skin,8.857971,8.891535,0.033563614
SN-38,MK-8776,NCIH1650,687800,0.7846368909,lung,0.7846369,0.74794555,0.036691368
ABT-888,MK-8776,SKMEL30,909726,-2.3211651128,skin,-2.321165,-2.284431,0.036734104
MK-4541,5-FU,NCIH1650,687800,-1.112977951,lung,-1.112978,-1.1506592,0.037681222
MK-8776,METHOTREXATE,NCIH1650,687800,-5.1378130297,lung,-5.137813,-5.099649,0.03816414
DINACICLIB,VINBLASTINE,MDAMB436,1240172,-21.7441588923,breast,-21.74416,-21.697084,0.04707527
TEMOZOLOMIDE,MK-8776,NCIH1650,687800,-12.6882571058,lung,-12.688257,-12.640299,0.047958374
L778123,METHOTREXATE,SKMEL30,909726,-6.3093494255,skin,-6.3093495,-6.260452,0.048897743
OXALIPLATIN,MK-8776,RKO,909698,5.4213733531,digestive_system,5.4213734,5.4747643,0.05339098
SORAFENIB,CYCLOPHOSPHAMIDE,SKMEL30,909726,4.8406253394,skin,4.8406253,4.7826414,0.057983875
TOPOTECAN,MK-4541,RPMI7951,910903,4.8839240701,skin,4.883924,4.948711,0.06478691
TOPOTECAN,SUNITINIB,RPMI7951,910903,-6.2367024661,skin,-6.2367024,-6.3016925,0.06499004
L778123,MK-2206,RPMI7951,910903,19.0822103042,skin,19.08221,19.012552,0.06965828
CYCLOPHOSPHAMIDE,MK-4827,SKMES1,909728,2.2486291608,lung,2.248629,2.3186646,0.07003546
SORAFENIB,DINACICLIB,RPMI7951,910903,-6.5067895448,skin,-6.5067897,-6.579764,0.072974205
DEXAMETHASONE,L778123,SKMES1,909728,5.2440783182,lung,5.244078,5.3172445,0.07316637
SORAFENIB,MRK-003,RPMI7951,910903,14.3627371372,skin,14.362737,14.289173,0.073563576
MK-4827,MRK-003,MDAMB436,1240172,13.4654828835,breast,13.465483,13.389168,0.076314926
ZOLINZA,SUNITINIB,NCIH1650,687800,-6.8810075502,lung,-6.8810077,-6.9636984,0.082690716
SUNITINIB,ZOLINZA,SKMEL30,909726,-7.2857187852,skin,-7.285719,-7.2009053,0.084813595
SUNITINIB,PD325901,SKMEL30,909726,11.7676371757,skin,11.767637,11.854488,0.08685112
TEMOZOLOMIDE,PACLITAXEL,RKO,909698,-8.8105322606,digestive_system,-8.810533,-8.7233925,0.08714008
CYCLOPHOSPHAMIDE,ERLOTINIB,SKMEL30,909726,-3.9155480599,skin,-3.915548,-3.8251808,0.09036732
METHOTREXATE,MK-8776,NCIH1650,687800,-5.1378130297,lung,-5.137813,-5.044503,0.09330988
OXALIPLATIN,MK-8776,LNCAP,907788,6.5376212745,urogenital_system,6.5376215,6.440231,0.09739065
GEMCITABINE,ABT-888,NCIH1650,687800,-6.4258787093,lung,-6.4258785,-6.52523,0.099351406
PD325901,BEZ-235,OVCAR3,905933,44.7254642956,urogenital_system,44.725464,44.62341,0.102054596
MK-8669,DINACICLIB,SKMES1,909728,2.6997052257,lung,2.6997051,2.8019671,0.10226202
VINBLASTINE,MK-8669,RPMI7951,910903,20.0700000261,skin,20.07,19.967354,0.102645874
AZD1775,PD325901,SKMEL30,909726,4.6206626318,skin,4.6206627,4.515346,0.10531664
BORTEZOMIB,DASATINIB,SKMEL30,909726,-11.6323367219,skin,-11.632337,-11.743344,0.11100769
AZD1775,TOPOTECAN,NCIH1650,687800,5.6704187491,lung,5.6704187,5.558343,0.112075806
SUNITINIB,AZD1775,LNCAP,907788,-4.7990609756,urogenital_system,-4.799061,-4.913977,0.114916325
GEMCITABINE,SORAFENIB,RPMI7951,910903,-9.0143792991,skin,-9.0143795,-8.8986,0.11577988
BEZ-235,TEMOZOLOMIDE,MDAMB436,1240172,23.5143479535,breast,23.514347,23.3924,0.121946335
ZOLINZA,5-FU,OVCAR3,905933,3.6178868253,urogenital_system,3.6178868,3.489236,0.12865067
ETOPOSIDE,SORAFENIB,OVCAR3,905933,-18.4345598269,urogenital_system,-18.43456,-18.570868,0.13630676
MRK-003,MITOMYCINE,RKO,909698,-9.27179112,digestive_system,-9.271791,-9.408455,0.13666344
MK-2206,CYCLOPHOSPHAMIDE,NCIH1650,687800,4.2364909267,lung,4.2364907,4.3751006,0.13860989
PACLITAXEL,DINACICLIB,RPMI7951,910903,-4.0514718239,skin,-4.0514717,-4.190628,0.13915634
MK-8776,DASATINIB,LNCAP,907788,36.6714495263,urogenital_system,36.671448,36.525272,0.14617538
PD325901,SUNITINIB,SKMEL30,909726,11.7676371757,skin,11.767637,11.91403,0.14639282
MRK-003,VINBLASTINE,RPMI7951,910903,29.7486770643,skin,29.748676,29.594175,0.15450096
SN-38,MK-4541,LNCAP,907788,7.102346932,urogenital_system,7.102347,6.94106,0.16128683
DASATINIB,ERLOTINIB,RKO,909698,11.2554584031,digestive_system,11.255459,11.086844,0.16861439
L778123,OXALIPLATIN,SKMES1,909728,0.3950685467,lung,0.39506856,0.22437035,0.17069821
ZOLINZA,GELDANAMYCIN,RPMI7951,910903,-18.7707746859,skin,-18.770775,-18.598015,0.17276001
LAPATINIB,SORAFENIB,RKO,909698,15.5274702579,digestive_system,15.527471,15.706126,0.17865562
PD325901,5-FU,MDAMB436,1240172,9.3580687088,breast,9.358068,9.170366,0.18770218
GELDANAMYCIN,SUNITINIB,SKMEL30,909726,2.9229601849,skin,2.9229603,2.7328076,0.19015265
MK-5108,ZOLINZA,MDAMB436,1240172,-0.8993218211,breast,-0.8993218,-0.70445144,0.19487035
MK-4541,GEMCITABINE,OVCAR3,905933,-5.5969745488,urogenital_system,-5.5969744,-5.4004035,0.19657087
CYCLOPHOSPHAMIDE,DINACICLIB,SKMEL30,909726,5.5949778159,skin,5.594978,5.7923493,0.19737148
CYCLOPHOSPHAMIDE,MK-2206,RPMI7951,910903,8.1492094249,skin,8.149209,7.949794,0.1994152
MRK-003,METFORMIN,MDAMB436,1240172,6.4758476322,breast,6.4758477,6.67556,0.19971228
