Drug1,Drug2,Cell line,Cosmic sample Id,synergy,Tissue,log_synergy,predict,abs_error
MK-4827,ERLOTINIB,UACC62,905976,4.8869189398,skin,4.886919,4.881495,0.0054240227
MK-4827,LAPATINIB,OV90,1240197,-6.2915371402,urogenital_system,-6.2915373,-6.2823496,0.009187698
SUNITINIB,GELDANAMYCIN,NCIH2122,722046,-0.2935596512,lung,-0.29355964,-0.3037088,0.010149151
LAPATINIB,SUNITINIB,NCIH23,905942,1.4423768043,lung,1.4423769,1.4556124,0.013235569
PACLITAXEL,L778123,UWB1289,1480374,12.3586414829,urogenital_system,12.358642,12.345387,0.013254166
VINBLASTINE,ERLOTINIB,T-47D,905945,-14.0526160556,breast,-14.052616,-14.06864,0.016023636
PACLITAXEL,BORTEZOMIB,SKMEL30,909726,-3.4291180541,skin,-3.4291182,-3.411515,0.017603159
ERLOTINIB,DEXAMETHASONE,SW837,909755,15.5693132589,digestive_system,15.569313,15.547373,0.021940231
SUNITINIB,MK-8669,A2058,906792,39.694651966,skin,39.694653,39.666237,0.02841568
SORAFENIB,PACLITAXEL,NCIH23,905942,-3.5141508955,lung,-3.5141509,-3.5438724,0.029721498
ZOLINZA,MK-4827,A2058,906792,0.1676616435,skin,0.16766164,0.12522627,0.042435363
ERLOTINIB,MK-4827,RKO,909698,2.9501553744,digestive_system,2.9501553,2.9949365,0.044781208
MK-8776,MK-4827,SK-OV-3,905959,6.0850015382,urogenital_system,6.0850015,6.1331577,0.04815626
MK-4827,METFORMIN,NCIH520,908443,-0.7374040867,lung,-0.7374041,-0.7872289,0.049824774
SUNITINIB,ERLOTINIB,NCIH1650,687800,19.751755626,lung,19.751755,19.804323,0.052568436
VINORELBINE,ZOLINZA,A375,906793,-27.3184479828,skin,-27.318447,-27.261572,0.05687523
MK-4827,VINBLASTINE,HCT116,905936,-9.1481598272,digestive_system,-9.14816,-9.209213,0.061053276
MK-4827,OXALIPLATIN,MDAMB436,1240172,-7.027663041,breast,-7.027663,-7.0946603,0.06699705
MK-4827,MK-4541,RKO,909698,2.2527114837,digestive_system,2.2527115,2.3208458,0.06813431
SUNITINIB,MK-2206,HCT116,905936,21.7550205915,digestive_system,21.75502,21.68165,0.07336998
MK-4827,BEZ-235,NCIH2122,722046,14.8936563075,lung,14.893657,14.968226,0.0745697
SUNITINIB,MK-8669,NCIH1650,687800,22.6891209313,lung,22.689121,22.772648,0.08352661
SUNITINIB,BORTEZOMIB,SKMEL30,909726,-4.4300284325,skin,-4.4300284,-4.344208,0.085820675
GEMCITABINE,MK-4827,HT144,907067,5.354020364,skin,5.3540206,5.267772,0.0862484
DEXAMETHASONE,L778123,UWB1289,1480374,12.9779522582,urogenital_system,12.977952,12.889897,0.08805466
SUNITINIB,GELDANAMYCIN,RPMI7951,910903,-4.932645741,skin,-4.932646,-4.8398,0.09284592
MK-2206,ERLOTINIB,LOVO,907790,18.8651844451,digestive_system,18.865185,18.770966,0.09421921
LAPATINIB,SUNITINIB,NCIH1650,687800,26.4057956575,lung,26.405796,26.50144,0.095644
SUNITINIB,DINACICLIB,HCT116,905936,-1.6217115405,digestive_system,-1.6217115,-1.5260324,0.095679045
SUNITINIB,MK-4827,SKMES1,909728,-0.3834474455,lung,-0.38344744,-0.28629312,0.09715432
PACLITAXEL,SORAFENIB,RKO,909698,2.0702440798,digestive_system,2.070244,2.169101,0.098856926
MK-4827,MK-5108,LOVO,907790,0.1114989778,digestive_system,0.111498974,-0.00661242,0.118111394
OXALIPLATIN,MK-4827,SKMES1,909728,-5.8963232641,lung,-5.896323,-6.0146203,0.1182971
BORTEZOMIB,SUNITINIB,SKMEL30,909726,-4.4300284325,skin,-4.4300284,-4.5553703,0.12534189
SUNITINIB,LAPATINIB,OCUBM,909256,25.7881739422,breast,25.788174,25.913551,0.12537766
SUNITINIB,MRK-003,OCUBM,909256,7.6897093264,breast,7.689709,7.8165355,0.12682629
PACLITAXEL,SORAFENIB,NCIH23,905942,-3.5141508955,lung,-3.5141509,-3.382366,0.13178492
DEXAMETHASONE,DINACICLIB,A375,906793,3.8718090131,skin,3.871809,4.00486,0.13305092
DEXAMETHASONE,BORTEZOMIB,SK-OV-3,905959,3.520986426,urogenital_system,3.5209863,3.6588414,0.13785505
DEXAMETHASONE,SORAFENIB,UWB1289,1480374,6.1457570045,urogenital_system,6.145757,6.28628,0.14052296
ERLOTINIB,GEMCITABINE,NCIH23,905942,-7.2014358906,lung,-7.201436,-7.346281,0.14484501
ERLOTINIB,VINBLASTINE,T-47D,905945,-14.0526160556,breast,-14.052616,-13.905409,0.14720726
CYCLOPHOSPHAMIDE,SUNITINIB,RPMI7951,910903,-2.1087676043,skin,-2.1087675,-1.9501171,0.1586504
SUNITINIB,ABT-888,LNCAP,907788,-0.8374159578,urogenital_system,-0.83741593,-0.99802977,0.16061383
CYCLOPHOSPHAMIDE,MK-4827,RPMI7951,910903,-0.0938184857,skin,-0.093818486,0.075331345,0.16914983
PACLITAXEL,BEZ-235,OV90,1240197,21.623141441,urogenital_system,21.623142,21.450787,0.17235565
MK-4827,PD325901,RPMI7951,910903,-3.0863413489,skin,-3.0863414,-3.2628043,0.17646289
DOXORUBICIN,MK-4827,SKMES1,909728,-0.733084804,lung,-0.7330848,-0.92328435,0.19019955
BEZ-235,DEXAMETHASONE,NCIH520,908443,26.8048139543,lung,26.804813,26.613478,0.19133568
PACLITAXEL,PD325901,VCAP,1299075,5.9292140231,urogenital_system,5.929214,6.122076,0.19286203
BEZ-235,DEXAMETHASONE,SK-OV-3,905959,15.7922015419,urogenital_system,15.792202,15.596464,0.19573784
SUNITINIB,MITOMYCINE,SKMEL30,909726,4.8440820155,skin,4.844082,5.0473447,0.2032628
BEZ-235,PACLITAXEL,OV90,1240197,21.623141441,urogenital_system,21.623142,21.827612,0.20446968
MK-4541,SUNITINIB,MDAMB436,1240172,5.5767343902,breast,5.5767345,5.3612785,0.21545601
MK-4827,CARBOPLATIN,OCUBM,909256,17.8553446054,breast,17.855345,17.633759,0.22158623
ERLOTINIB,MK-2206,LOVO,907790,18.8651844451,digestive_system,18.865185,19.086926,0.22174072
BEZ-235,MK-4827,NCIH2122,722046,14.8936563075,lung,14.893657,15.116106,0.2224493
ZOLINZA,ERLOTINIB,T-47D,905945,16.8779397901,breast,16.87794,17.10149,0.2235508
MRK-003,ERLOTINIB,SK-OV-3,905959,28.8991764086,urogenital_system,28.899176,29.125757,0.22658157
ERLOTINIB,MK-4827,HT144,907067,4.5082601753,skin,4.5082603,4.7388535,0.2305932
