Drug1,Drug2,Cell line,Cosmic sample Id,synergy,Tissue,log_synergy,predict,abs_error
LAPATINIB,SN-38,LOVO,907790,25.4765296164,digestive_system,25.47653,25.477932,0.0014019012
BEZ-235,VINBLASTINE,UACC62,905976,23.3508487839,skin,23.35085,23.348713,0.0021362305
SORAFENIB,METHOTREXATE,RPMI7951,910903,-9.910346407,skin,-9.910346,-9.912485,0.0021390915
MK-4827,VINBLASTINE,HCT116,905936,-9.1481598272,digestive_system,-9.14816,-9.152401,0.0042409897
MK-4827,DOXORUBICIN,UWB1289,1480374,-0.2095963688,urogenital_system,-0.20959637,-0.21534306,0.0057466924
DASATINIB,MK-8669,SKMEL30,909726,19.6827256308,skin,19.682726,19.676422,0.006303787
MK-5108,VINORELBINE,LOVO,907790,-0.1670248275,digestive_system,-0.16702482,-0.17469573,0.007670909
MK-8669,MK-2206,HCT116,905936,22.1880903048,digestive_system,22.18809,22.176395,0.0116939545
MITOMYCINE,DINACICLIB,A2058,906792,0.2483327551,skin,0.24833275,0.26043743,0.012104675
DINACICLIB,LAPATINIB,RKO,909698,5.3423114476,digestive_system,5.3423114,5.329609,0.012702465
ERLOTINIB,ABT-888,SKMES1,909728,1.8673791234,lung,1.8673791,1.8803895,0.013010383
CARBOPLATIN,DINACICLIB,NCIH2122,722046,-6.4705489798,lung,-6.470549,-6.484452,0.013902664
DASATINIB,METFORMIN,UWB1289,1480374,2.1886731514,urogenital_system,2.1886733,2.1745026,0.014170647
DINACICLIB,VINBLASTINE,SK-OV-3,905959,-21.1241976211,urogenital_system,-21.124197,-21.109539,0.014657974
METHOTREXATE,L778123,OCUBM,909256,3.0355123692,breast,3.0355124,3.0507174,0.015204906
ETOPOSIDE,MK-2206,RPMI7951,910903,17.2451000694,skin,17.2451,17.228867,0.016233444
ABT-888,AZD1775,SKMEL30,909726,4.1379899576,skin,4.13799,4.1570973,0.019107342
DINACICLIB,MK-2206,SKMES1,909728,8.384784165,lung,8.384784,8.359206,0.025577545
PACLITAXEL,BEZ-235,OV90,1240197,21.623141441,urogenital_system,21.623142,21.596882,0.026260376
MK-2206,MK-8669,HCT116,905936,22.1880903048,digestive_system,22.18809,22.22411,0.03602028
MK-8669,GEMCITABINE,HCT116,905936,-3.7288960485,digestive_system,-3.7288961,-3.7650235,0.03612733
MK-4541,L778123,MDAMB436,1240172,6.4298517314,breast,6.4298515,6.3928075,0.03704405
MRK-003,PD325901,T-47D,905945,28.1570065294,breast,28.157007,28.195778,0.038770676
DASATINIB,ABT-888,NCIH23,905942,1.8208274817,lung,1.8208275,1.8633232,0.042495728
BEZ-235,PD325901,MDAMB436,1240172,34.3905349741,breast,34.390533,34.43831,0.04777527
PD325901,SUNITINIB,OVCAR3,905933,16.1201443189,urogenital_system,16.120144,16.069305,0.05083847
ZOLINZA,BORTEZOMIB,LOVO,907790,-0.4728110291,digestive_system,-0.47281104,-0.42017502,0.052636027
MK-4827,GELDANAMYCIN,SKMEL30,909726,9.59874505,skin,9.598745,9.543243,0.055501938
DOXORUBICIN,MK-8776,NCIH23,905942,4.1495987613,lung,4.1495986,4.206124,0.05652523
ZOLINZA,MRK-003,SKMEL30,909726,-1.1622776303,skin,-1.1622776,-1.2254996,0.06322205
METFORMIN,SORAFENIB,A375,906793,13.3680339996,skin,13.368034,13.434722,0.066687584
