Unnamed: 0,Drug1,Drug2,Cell line,synergy,fold,index,Cosmic sample Id,Tissue,set,predict,abs_error
16283,MRK-003,DEXAMETHASONE,SKMES1,4.2348510097,1,16283,909728.0,lung,test_dc,4.2295456,0.005305416438281085
19168,SUNITINIB,DINACICLIB,OCUBM,4.7324926131,0,19168,909256.0,breast,test_dc,4.722927,0.009565519594140426
27556,DEXAMETHASONE,ABT-888,OCUBM,16.4418883788,2,27556,909256.0,breast,test_dc,16.455097,0.013208819686326478
23752,5-FU,SUNITINIB,OCUBM,8.9984658495,3,23752,909256.0,breast,test_dc,8.983773,0.014692617993652846
38042,MK-4827,TOPOTECAN,OV90,9.0440510067,4,38042,1240197.0,urogenital_system,test_dc,9.063003,0.01895157966474592
13283,MK-4541,DEXAMETHASONE,OV90,-7.0314428899,2,13283,1240197.0,urogenital_system,test_dc,-7.0551653,0.023722400932519427
26808,CYCLOPHOSPHAMIDE,MK-4827,SK-OV-3,8.0849277102,3,26808,905959.0,urogenital_system,test_dc,8.111151,0.026223031377147876
46015,ZOLINZA,SUNITINIB,SKMEL30,-7.2857187852,3,46015,909726.0,skin,test_dc,-7.254162,0.031556950483203394
44799,VINORELBINE,GELDANAMYCIN,NCIH520,-18.7214105687,2,44799,908443.0,lung,test_dc,-18.754675,0.03326434279902202
44188,VINBLASTINE,MK-4827,UACC62,-1.6253838079,4,44188,905976.0,skin,test_dc,-1.5891436,0.03624017405753177
44730,VINORELBINE,DINACICLIB,SK-OV-3,-15.2306625274,2,44730,905959.0,urogenital_system,test_dc,-15.187012,0.04365080864999982
21635,VINORELBINE,DASATINIB,RKO,7.4146469801,2,21635,909698.0,digestive_system,test_dc,7.460457,0.045809868044531576
40811,PACLITAXEL,ERLOTINIB,NCIH1650,6.727703731,4,40811,687800.0,lung,test_dc,6.774823,0.047119457781738205
19295,SUNITINIB,LAPATINIB,SW837,22.7971860733,3,19295,909755.0,digestive_system,test_dc,22.743109,0.05407732391035225
17130,MRK-003,SUNITINIB,A375,14.3003583276,0,17130,906793.0,skin,test_dc,14.240845,0.0595136010374997
19143,SUNITINIB,DASATINIB,UWB1289,1.8433054087,1,19143,1480374.0,urogenital_system,test_dc,1.7757062,0.06759923671055912
40932,PACLITAXEL,LAPATINIB,NCIH520,-5.6161659945,1,40932,908443.0,lung,test_dc,-5.683774,0.06760799994580058
45221,VINORELBINE,ZOLINZA,LOVO,3.3307792359,1,45221,907790.0,digestive_system,test_dc,3.2625115,0.06826774412448744
21118,VINBLASTINE,MK-4827,MSTO,0.2287416407,4,21118,908152.0,lung,test_dc,0.15999688,0.0687447586189682
36335,MK-4541,DEXAMETHASONE,OV90,-7.0314428899,2,36335,1240197.0,urogenital_system,test_dc,-7.1074486,0.07600568798085927
17579,PACLITAXEL,AZD1775,SW837,8.6975018813,4,17579,909755.0,digestive_system,test_dc,8.776384,0.07888247233769619
4965,DEXAMETHASONE,MK-5108,MDAMB436,1.0741947539,0,4965,1240172.0,breast,test_dc,1.1548363,0.08064154313521721
19599,SUNITINIB,SN-38,HCT116,7.0956575454,1,19599,905936.0,digestive_system,test_dc,7.1767077,0.08105019919838874
42027,SUNITINIB,ABT-888,OVCAR3,5.0615060457,4,42027,905933.0,urogenital_system,test_dc,5.1425714,0.08106540357978531
17549,PACLITAXEL,AZD1775,A375,15.2602948559,4,17549,906793.0,skin,test_dc,15.343124,0.08282953374843771
37070,MK-4541,PACLITAXEL,NCIH1650,3.6075165886,3,37070,687800.0,lung,test_dc,3.5223851,0.08513146820815409
40710,PACLITAXEL,BORTEZOMIB,T-47D,-21.0708628857,4,40710,905945.0,breast,test_dc,-21.157946,0.08708274723457166
691,5-FU,SUNITINIB,LNCAP,-6.2008373031,3,691,907788.0,urogenital_system,test_dc,-6.1028976,0.09793965905703139
17740,PACLITAXEL,DINACICLIB,VCAP,-9.0798561277,4,17740,1299075.0,urogenital_system,test_dc,-8.975166,0.10468980689921814
19370,SUNITINIB,MK-4827,LOVO,5.0291328964,1,19370,907790.0,digestive_system,test_dc,4.9232435,0.1058893737559572
40908,PACLITAXEL,L778123,UWB1289,12.3586414829,0,40908,1480374.0,urogenital_system,test_dc,12.475474,0.11683287470498094
14949,MK-4827,SORAFENIB,NCIH520,9.0800379182,3,14949,908443.0,lung,test_dc,8.960957,0.11908134471367227
19604,SUNITINIB,SN-38,LOVO,2.2560472926,1,19604,907790.0,digestive_system,test_dc,2.3807724,0.12472505961862801
37499,MK-4827,BEZ-235,NCIH1650,7.6778640734,0,37499,687800.0,lung,test_dc,7.552794,0.12507009375522493
14683,MK-4827,MK-2206,NCIH23,15.7699302156,1,14683,905942.0,lung,test_dc,15.9027405,0.13281026291562448
40616,PACLITAXEL,AZD1775,NCIH1650,8.2975094435,4,40616,687800.0,lung,test_dc,8.163774,0.1337359068178703
12281,MITOMYCINE,SUNITINIB,RKO,-5.9000856657,0,12281,909698.0,digestive_system,test_dc,-5.7619476,0.13813803386406232
29434,ERLOTINIB,MK-8776,SKMEL30,24.9379227811,2,29434,909726.0,skin,test_dc,25.07846,0.14053791225937573
26030,CARBOPLATIN,MK-4827,SW837,-18.4010417862,2,26030,909755.0,digestive_system,test_dc,-18.258001,0.14304045868535198
21366,VINBLASTINE,SUNITINIB,SK-OV-3,4.8199995606,2,21366,905959.0,urogenital_system,test_dc,4.9657226,0.14572300028256802
11049,METHOTREXATE,ERLOTINIB,NCIH2122,-0.0181583928,2,11049,722046.0,lung,test_dc,-0.16583191,0.14767351578364105
23491,5-FU,MK-4827,HT144,-2.5727064212,3,23491,907067.0,skin,test_dc,-2.720655,0.14794854324702156
44709,VINORELBINE,DINACICLIB,HCT116,-25.1171345557,2,44709,905936.0,digestive_system,test_dc,-25.272894,0.1557593499396468
18041,PACLITAXEL,MK-8669,RKO,27.4767611906,4,18041,909698.0,digestive_system,test_dc,27.319418,0.1573432371087904
37077,MK-4541,PACLITAXEL,OVCAR3,-4.230089164,3,37077,905933.0,urogenital_system,test_dc,-4.3954372,0.16534807660058615
13292,MK-4541,DEXAMETHASONE,SW837,1.9271210569,2,13292,909755.0,digestive_system,test_dc,2.0970814,0.16996036590578623
28819,DOXORUBICIN,MK-4827,VCAP,8.1636128334,3,28819,1299075.0,urogenital_system,test_dc,8.337746,0.17413283310390604
21604,VINORELBINE,BORTEZOMIB,UACC62,-25.4149395191,3,21604,905976.0,skin,test_dc,-25.23519,0.179750081233788
24440,AZD1775,ERLOTINIB,NCIH1650,11.4775356674,3,24440,687800.0,lung,test_dc,11.297237,0.18029827115976538
6427,ERLOTINIB,OXALIPLATIN,UACC62,-17.1568745076,1,6427,905976.0,skin,test_dc,-17.339407,0.18253245956308461
29533,ERLOTINIB,SN-38,HT144,11.9553383751,2,29533,907067.0,skin,test_dc,12.140502,0.1851636009131834
18189,PACLITAXEL,SUNITINIB,NCIH2122,-11.4390014026,0,18189,722046.0,lung,test_dc,-11.636484,0.19748274351816342
26601,CYCLOPHOSPHAMIDE,ERLOTINIB,NCIH2122,5.4168465858,0,26601,722046.0,lung,test_dc,5.214522,0.20232470088178722
40577,PACLITAXEL,ABT-888,NCIH1650,-7.7606126489,0,40577,687800.0,lung,test_dc,-7.5580406,0.2025720300035152
37069,MK-4541,PACLITAXEL,MSTO,3.7659765327,3,37069,908152.0,lung,test_dc,3.5536711,0.21230541110270984
27666,DEXAMETHASONE,BORTEZOMIB,MDAMB436,-0.8230284318,3,27666,1240172.0,breast,test_dc,-0.61004186,0.2129865750342529
5559,DOXORUBICIN,ERLOTINIB,OVCAR3,-11.4060550688,1,5559,905933.0,urogenital_system,test_dc,-11.191754,0.21430072767451236
18286,PACLITAXEL,ZOLINZA,VCAP,11.6470807755,3,18286,1299075.0,urogenital_system,test_dc,11.862251,0.21517050623828204
20010,TEMOZOLOMIDE,ERLOTINIB,SK-OV-3,-6.8656489014,4,20010,905959.0,urogenital_system,test_dc,-6.6502056,0.21544328921738298
4590,DEXAMETHASONE,BEZ-235,SK-OV-3,15.7922015419,2,4590,905959.0,urogenital_system,test_dc,15.573597,0.21860458755429768
38384,MK-5108,MK-4827,LOVO,0.1114989778,3,38384,907790.0,digestive_system,test_dc,-0.10764764,0.219146620293248
37542,MK-4827,BORTEZOMIB,NCIH520,-32.4334882586,1,37542,908443.0,lung,test_dc,-32.654736,0.22124730658554626
37672,MK-4827,ERLOTINIB,UACC62,4.8869189398,4,37672,905976.0,skin,test_dc,4.6650033,0.22191564008686537
5057,DEXAMETHASONE,MK-8776,SKMES1,-13.1636504604,4,5057,909728.0,lung,test_dc,-12.925163,0.23848719135703078
17564,PACLITAXEL,AZD1775,NCIH1650,8.2975094435,4,17564,687800.0,lung,test_dc,8.054237,0.24327207777734294
26585,CYCLOPHOSPHAMIDE,ERLOTINIB,A375,-4.2310484029,0,26585,906793.0,skin,test_dc,-3.9812953,0.24975305568625483
29276,ERLOTINIB,DASATINIB,RKO,11.2554584031,3,29276,909698.0,digestive_system,test_dc,11.511051,0.25559277487851517
35072,MITOMYCINE,MK-4827,LOVO,7.4702313876,2,35072,907790.0,digestive_system,test_dc,7.733943,0.2637115979346678
22184,VINORELBINE,ZOLINZA,SKMES1,5.4657539468,1,22184,909728.0,lung,test_dc,5.2009125,0.2648414712140621
35337,MITOMYCINE,SUNITINIB,SK-OV-3,-1.5770945482,0,35337,905959.0,urogenital_system,test_dc,-1.30925,0.267844551061023
42214,SUNITINIB,DINACICLIB,MSTO,-1.7992443658,0,42214,908152.0,lung,test_dc,-1.5290033,0.2702411032801635
40742,PACLITAXEL,DASATINIB,RKO,17.8551366516,0,40742,909698.0,digestive_system,test_dc,18.127691,0.2725546173208997
5987,DOXORUBICIN,SUNITINIB,OV90,-12.6996824454,4,5987,1240197.0,urogenital_system,test_dc,-12.985931,0.2862489510843744
12027,MITOMYCINE,MK-4827,NCIH520,4.484228408,2,12027,908443.0,lung,test_dc,4.190176,0.29405239786816395
42736,SUNITINIB,TEMOZOLOMIDE,MSTO,12.7289450302,2,42736,908152.0,lung,test_dc,12.432489,0.29645563505839867
14035,MK-4541,PACLITAXEL,UACC62,-3.3478476046,3,14035,905976.0,skin,test_dc,-3.6469128,0.2990652085866454
11053,METHOTREXATE,ERLOTINIB,OCUBM,-1.4481379553,2,11053,909256.0,breast,test_dc,-1.7506908,0.3025528625329468
13777,MK-4541,MK-4827,HT144,-8.9699789203,1,13777,907067.0,skin,test_dc,-9.27485,0.3048709713625968
15001,MK-4827,TOPOTECAN,UACC62,4.5443507185,4,15001,905976.0,skin,test_dc,4.2381105,0.3062401762026363
6525,ERLOTINIB,SORAFENIB,MDAMB436,-0.1383704857,1,6525,1240172.0,breast,test_dc,-0.44805026,0.30967977484382325
27789,DEXAMETHASONE,ERLOTINIB,NCIH520,-0.1614427621,4,27789,908443.0,lung,test_dc,0.15022776,0.3116705174081512
44687,VINORELBINE,DASATINIB,RKO,7.4146469801,2,44687,909698.0,digestive_system,test_dc,7.099779,0.31486785107167936
22091,VINORELBINE,SUNITINIB,LOVO,2.6047154461,2,22091,907790.0,digestive_system,test_dc,2.2840688,0.3206466232392824
42134,SUNITINIB,BORTEZOMIB,LOVO,0.4992390997,4,42134,907790.0,digestive_system,test_dc,0.8225521,0.3233129852227905
4545,DEXAMETHASONE,AZD1775,OVCAR3,20.1092400248,4,4545,905933.0,urogenital_system,test_dc,20.440367,0.3311267201951189
44407,VINBLASTINE,SUNITINIB,NCIH23,-18.8631606254,2,44407,905942.0,lung,test_dc,-18.531956,0.3312049064058584
42553,SUNITINIB,MK-8776,SKMEL30,10.2480240435,2,42553,909726.0,skin,test_dc,9.914354,0.33366971915917887
28811,DOXORUBICIN,MK-4827,SKMES1,-0.733084804,3,28811,909728.0,lung,test_dc,-0.3915326,0.3415522040740051
37087,MK-4541,PACLITAXEL,UACC62,-3.3478476046,3,37087,905976.0,skin,test_dc,-3.6906586,0.3428109647359374
15332,MK-5108,MK-4827,LOVO,0.1114989778,3,15332,907790.0,digestive_system,test_dc,-0.23776554,0.34926451351224214
16390,MRK-003,ERLOTINIB,NCIH23,3.611325777,3,16390,905942.0,lung,test_dc,3.2589476,0.35237816614489725
5767,DOXORUBICIN,MK-4827,VCAP,8.1636128334,3,5767,1299075.0,urogenital_system,test_dc,7.810643,0.3529696372940432
19416,SUNITINIB,MK-5108,NCIH520,-2.2081299518,0,19416,908443.0,lung,test_dc,-2.563891,0.35576098219047836
21510,VINORELBINE,AZD1775,NCIH2122,-29.0534773004,4,21510,722046.0,lung,test_dc,-29.431627,0.37814997315956944
21678,VINORELBINE,DINACICLIB,SK-OV-3,-15.2306625274,2,21678,905959.0,urogenital_system,test_dc,-15.61029,0.3796270462694338
27039,CYCLOPHOSPHAMIDE,SUNITINIB,RPMI7951,-2.1087676043,2,27039,910903.0,skin,test_dc,-1.726453,0.38231465763709727
35316,MITOMYCINE,SUNITINIB,HCT116,-0.4397831215,0,35316,905936.0,digestive_system,test_dc,-0.8257885,0.3860053764248047
38001,MK-4827,SORAFENIB,NCIH520,9.0800379182,3,38001,908443.0,lung,test_dc,9.469495,0.3894569014411129
21975,VINORELBINE,MK-8776,MDAMB436,2.3769851354,1,21975,1240172.0,breast,test_dc,2.7667077,0.3897225233677002
26607,CYCLOPHOSPHAMIDE,ERLOTINIB,OVCAR3,-6.420695627,0,26607,905933.0,urogenital_system,test_dc,-6.025529,0.39516671922412083
11497,METHOTREXATE,SUNITINIB,VCAP,-17.1675046622,0,11497,1299075.0,urogenital_system,test_dc,-17.565268,0.397762900666212
4978,DEXAMETHASONE,MK-5108,SKMEL30,11.0082330418,0,4978,909726.0,skin,test_dc,11.4130745,0.4048414516082026
6377,ERLOTINIB,MK-8776,OV90,5.0422857722,2,6377,1240197.0,urogenital_system,test_dc,4.6341844,0.40810141169584924
35643,MK-2206,ERLOTINIB,LOVO,18.8651844451,1,35643,907790.0,digestive_system,test_dc,19.276655,0.4114707520435559
9181,L778123,SUNITINIB,VCAP,13.581039813,2,9181,1299075.0,urogenital_system,test_dc,13.167706,0.4133342771113284
19570,SUNITINIB,PD325901,NCIH23,11.6713353217,4,19570,905942.0,lung,test_dc,11.253933,0.4174023688191415
17803,PACLITAXEL,GELDANAMYCIN,OCUBM,4.8363704729,2,17803,909256.0,breast,test_dc,5.2645345,0.4281640005191898
33313,METFORMIN,ERLOTINIB,HT144,-3.4728603705,0,33313,907067.0,skin,test_dc,-3.9096506,0.43679019369372574
8279,GEMCITABINE,SUNITINIB,OV90,0.0378561228,2,8279,1240197.0,urogenital_system,test_dc,0.47584844,0.4379923135555908
34105,METHOTREXATE,ERLOTINIB,OCUBM,-1.4481379553,2,34105,909256.0,breast,test_dc,-1.0079094,0.4402285381475952
42098,SUNITINIB,BEZ-235,NCIH1650,17.6854598669,1,42098,687800.0,lung,test_dc,17.24138,0.4440791753716802
42464,SUNITINIB,MK-5108,NCIH1650,-1.0162528264,0,42464,687800.0,lung,test_dc,-1.4635844,0.4473315966651856
38053,MK-4827,TOPOTECAN,UACC62,4.5443507185,4,38053,905976.0,skin,test_dc,4.9958973,0.4515465745908207
44796,VINORELBINE,GELDANAMYCIN,NCIH2122,-37.228315773,2,44796,722046.0,lung,test_dc,-37.680058,0.4517417526347671
46009,ZOLINZA,SUNITINIB,OCUBM,-5.343150497,3,46009,909256.0,breast,test_dc,-4.8904443,0.45270621828295887
12040,MITOMYCINE,MK-4827,UACC62,12.2874092166,2,12040,905976.0,skin,test_dc,11.831495,0.4559139315658207
29229,ERLOTINIB,BORTEZOMIB,NCIH2122,-3.4257373886,0,29229,722046.0,lung,test_dc,-3.8841493,0.4584119243730225
41047,PACLITAXEL,MK-5108,NCIH23,1.9418073249,1,41047,905942.0,lung,test_dc,2.4066098,0.4648024487358642
41238,PACLITAXEL,SUNITINIB,MDAMB436,0.0360374643,0,41238,1240172.0,breast,test_dc,-0.4300531,0.46609057919105223
33527,METFORMIN,MK-4827,SKMES1,6.6687747713,2,33527,909728.0,lung,test_dc,7.139297,0.47052223721440445
21714,VINORELBINE,ERLOTINIB,RPMI7951,-11.8203378489,1,21714,910903.0,skin,test_dc,-12.291645,0.4713072011488286
8274,GEMCITABINE,SUNITINIB,NCIH2122,1.5831505973,2,8274,722046.0,lung,test_dc,1.108055,0.47509560176319576
10464,METFORMIN,MK-4827,NCIH2122,7.930717273,2,10464,722046.0,lung,test_dc,7.44497,0.4857471420795898
16269,MRK-003,DEXAMETHASONE,MDAMB436,0.3400579811,1,16269,1240172.0,breast,test_dc,-0.14767624,0.4877342254780899
6425,ERLOTINIB,OXALIPLATIN,SW837,-5.11531975,1,6425,909755.0,digestive_system,test_dc,-5.6035185,0.48819873602294894
4891,DEXAMETHASONE,MK-2206,NCIH23,3.0703185711,4,4891,905942.0,lung,test_dc,2.580422,0.4898966465089356
29135,ERLOTINIB,ABT-888,A375,-1.8874765729,4,29135,906793.0,skin,test_dc,-2.3817322,0.4942556525180908
35334,MITOMYCINE,SUNITINIB,RPMI7951,-5.6417468756,0,35334,910903.0,skin,test_dc,-5.143717,0.4980300634662109
