Drug1,Drug2,Cell line,synergy_x,fold,Cosmic sample Id,synergy_y,set
5-FU,ABT-888,A2058,7.6935301658,2,906792.0,7.6935301658,train_dc
5-FU,ABT-888,A2780,7.7780530601,2,906804.0,7.7780530601,train_dc
5-FU,ABT-888,A375,-1.1985054379,2,906793.0,-1.1985054379,test_dc
5-FU,ABT-888,A375,-1.1985054379,2,906793.0,-1.1985054379,mix_test
5-FU,ABT-888,A427,2.5956844375,2,910851.0,2.5956844375,train_dc
5-FU,ABT-888,CAOV3,-5.1399712212,2,,,
5-FU,ABT-888,COLO320DM,4.1759364346,2,,,
5-FU,ABT-888,DLD1,1.9351271188,2,,,
5-FU,ABT-888,EFM192B,-5.0898528562,2,,,
5-FU,ABT-888,ES2,1.4986504517,2,1240128.0,1.4986504517,train_dc
5-FU,ABT-888,HCT116,9.4632808694,2,905936.0,9.4632808694,val_dc
5-FU,ABT-888,HCT116,9.4632808694,2,905936.0,9.4632808694,mix_val
5-FU,ABT-888,HT144,-3.7013547459,2,907067.0,-3.7013547459,test_dc
5-FU,ABT-888,HT144,-3.7013547459,2,907067.0,-3.7013547459,mix_test
5-FU,ABT-888,HT29,10.1734339084,2,,,
5-FU,ABT-888,KPL1,2.1570044282,2,,,
5-FU,ABT-888,LNCAP,1.6326315853,2,907788.0,1.6326315853,train_dc
5-FU,ABT-888,LOVO,-8.9792139458,2,907790.0,-8.9792139458,test_dc
5-FU,ABT-888,LOVO,-8.9792139458,2,907790.0,-8.9792139458,blind_cell_test
5-FU,ABT-888,MDAMB436,6.8992599953,2,1240172.0,6.8992599953,val_dc
5-FU,ABT-888,MDAMB436,6.8992599953,2,1240172.0,6.8992599953,blind_cell_test
5-FU,ABT-888,MSTO,-1.7930738645,2,908152.0,-1.7930738645,train_dc
5-FU,ABT-888,NCIH1650,-5.9963702965,2,687800.0,-5.9963702965,train_dc
5-FU,ABT-888,NCIH2122,7.8902568144,2,722046.0,7.8902568144,train_dc
5-FU,ABT-888,NCIH23,-5.0426523057,2,905942.0,-5.0426523057,val_dc
5-FU,ABT-888,NCIH23,-5.0426523057,2,905942.0,-5.0426523057,blind_cell_val
5-FU,ABT-888,NCI-H460,-6.6119479166,2,905943.0,-6.6119479166,val_dc
5-FU,ABT-888,NCI-H460,-6.6119479166,2,905943.0,-6.6119479166,blind_cell_test
5-FU,ABT-888,NCIH520,3.6988348484,2,908443.0,3.6988348484,train_dc
5-FU,ABT-888,OCUBM,3.9321484531,2,909256.0,3.9321484531,val_dc
5-FU,ABT-888,OCUBM,3.9321484531,2,909256.0,3.9321484531,blind_cell_test
5-FU,ABT-888,OV90,-10.0688476137,2,1240197.0,-10.0688476137,train_dc
5-FU,ABT-888,OVCAR3,17.637032868,2,905933.0,17.637032868,train_dc
5-FU,ABT-888,PA1,5.6864884514,2,909255.0,5.6864884514,val_dc
5-FU,ABT-888,PA1,5.6864884514,2,909255.0,5.6864884514,blind_cell_test
5-FU,ABT-888,RKO,-2.6775877856,2,909698.0,-2.6775877856,val_dc
5-FU,ABT-888,RKO,-2.6775877856,2,909698.0,-2.6775877856,mix_val
5-FU,ABT-888,RPMI7951,-2.1732219296,2,910903.0,-2.1732219296,train_dc
5-FU,ABT-888,SKMEL30,-36.4592295758,2,909726.0,-36.4592295758,train_dc
5-FU,ABT-888,SKMES1,-0.0864245794,2,909728.0,-0.0864245794,train_dc
5-FU,ABT-888,SK-OV-3,5.0771773842,2,905959.0,5.0771773842,train_dc
5-FU,ABT-888,SW-620,0.1081077187,2,905962.0,0.1081077187,val_dc
5-FU,ABT-888,SW-620,0.1081077187,2,905962.0,0.1081077187,blind_cell_val
5-FU,ABT-888,SW837,-14.5231086273,2,909755.0,-14.5231086273,train_dc
5-FU,ABT-888,T-47D,17.4857954498,2,905945.0,17.4857954498,train_dc
5-FU,ABT-888,UACC62,-1.5839637825,2,905976.0,-1.5839637825,train_dc
5-FU,ABT-888,UWB1289BRCA1,6.5772638315,2,,,
5-FU,ABT-888,UWB1289,12.1947974084,2,1480374.0,12.1947974084,train_dc
5-FU,ABT-888,VCAP,1.0961027615,2,1299075.0,1.0961027615,train_dc
5-FU,ABT-888,ZR751,-8.6753170435,2,,,
5-FU,AZD1775,A2058,13.0526874408,1,906792.0,13.0526874408,train_dc
5-FU,AZD1775,A2780,11.2772729471,1,906804.0,11.2772729471,train_dc
5-FU,AZD1775,A375,2.7051275464,1,906793.0,2.7051275464,train_dc
5-FU,AZD1775,A427,7.4940610975,1,910851.0,7.4940610975,train_dc
5-FU,AZD1775,CAOV3,23.9861795387,1,,,
5-FU,AZD1775,COLO320DM,9.3986845957,1,,,
5-FU,AZD1775,DLD1,9.8201244067,1,,,
5-FU,AZD1775,EFM192B,2.9248207557,1,,,
5-FU,AZD1775,ES2,10.0575260869,1,1240128.0,10.0575260869,test_dc
5-FU,AZD1775,ES2,10.0575260869,1,1240128.0,10.0575260869,mix_val
5-FU,AZD1775,HCT116,13.9612713843,1,905936.0,13.9612713843,train_dc
5-FU,AZD1775,HT144,6.0653890015,1,907067.0,6.0653890015,train_dc
5-FU,AZD1775,HT29,-2.712205241,1,,,
5-FU,AZD1775,KPL1,-2.0611613488,1,,,
5-FU,AZD1775,LNCAP,9.9703894066,1,907788.0,9.9703894066,train_dc
5-FU,AZD1775,LOVO,-4.0015073281,1,907790.0,-4.0015073281,val_dc
5-FU,AZD1775,LOVO,-4.0015073281,1,907790.0,-4.0015073281,blind_cell_val
5-FU,AZD1775,MDAMB436,23.3811341972,1,1240172.0,23.3811341972,test_dc
5-FU,AZD1775,MDAMB436,23.3811341972,1,1240172.0,23.3811341972,blind_cell_val
5-FU,AZD1775,MSTO,-32.9906191851,1,908152.0,-32.9906191851,val_dc
5-FU,AZD1775,MSTO,-32.9906191851,1,908152.0,-32.9906191851,mix_test
5-FU,AZD1775,NCIH1650,10.773397668,1,687800.0,10.773397668,train_dc
5-FU,AZD1775,NCIH2122,4.3178885654,1,722046.0,4.3178885654,train_dc
5-FU,AZD1775,NCIH23,-7.1158991851,1,905942.0,-7.1158991851,val_dc
5-FU,AZD1775,NCIH23,-7.1158991851,1,905942.0,-7.1158991851,blind_cell_val
5-FU,AZD1775,NCI-H460,13.5826976918,1,905943.0,13.5826976918,test_dc
5-FU,AZD1775,NCI-H460,13.5826976918,1,905943.0,13.5826976918,blind_cell_test
5-FU,AZD1775,NCIH520,2.5787085802,1,908443.0,2.5787085802,train_dc
5-FU,AZD1775,OCUBM,33.5929258791,1,909256.0,33.5929258791,val_dc
5-FU,AZD1775,OCUBM,33.5929258791,1,909256.0,33.5929258791,blind_cell_test
5-FU,AZD1775,OV90,-3.1936519467,1,1240197.0,-3.1936519467,train_dc
5-FU,AZD1775,OVCAR3,12.2336919622,1,905933.0,12.2336919622,test_dc
5-FU,AZD1775,OVCAR3,12.2336919622,1,905933.0,12.2336919622,mix_test
5-FU,AZD1775,PA1,25.0726247672,1,909255.0,25.0726247672,val_dc
5-FU,AZD1775,PA1,25.0726247672,1,909255.0,25.0726247672,blind_cell_val
5-FU,AZD1775,RKO,19.3332015124,1,909698.0,19.3332015124,train_dc
5-FU,AZD1775,RPMI7951,16.722015116,1,910903.0,16.722015116,test_dc
5-FU,AZD1775,RPMI7951,16.722015116,1,910903.0,16.722015116,mix_val
5-FU,AZD1775,SKMEL30,2.2887188875,1,909726.0,2.2887188875,train_dc
5-FU,AZD1775,SKMES1,33.3532583969,1,909728.0,33.3532583969,train_dc
5-FU,AZD1775,SK-OV-3,18.7449639444,1,905959.0,18.7449639444,train_dc
5-FU,AZD1775,SW-620,8.0516725326,1,905962.0,8.0516725326,test_dc
5-FU,AZD1775,SW-620,8.0516725326,1,905962.0,8.0516725326,blind_cell_val
5-FU,AZD1775,SW837,2.5778554159,1,909755.0,2.5778554159,train_dc
5-FU,AZD1775,T-47D,10.0383629005,1,905945.0,10.0383629005,train_dc
5-FU,AZD1775,UACC62,11.4593505287,1,905976.0,11.4593505287,train_dc
5-FU,AZD1775,UWB1289BRCA1,6.2221139781,1,,,
5-FU,AZD1775,UWB1289,70.1581688167,1,1480374.0,70.1581688167,train_dc
5-FU,AZD1775,VCAP,-0.9983275325,1,1299075.0,-0.9983275325,val_dc
5-FU,AZD1775,VCAP,-0.9983275325,1,1299075.0,-0.9983275325,mix_val
5-FU,AZD1775,ZR751,0.423932097,1,,,
5-FU,BEZ-235,A2058,13.6791116022,1,906792.0,13.6791116022,test_dc
5-FU,BEZ-235,A2058,13.6791116022,1,906792.0,13.6791116022,mix_val
5-FU,BEZ-235,A2780,3.9332239081,1,906804.0,3.9332239081,train_dc
5-FU,BEZ-235,A375,3.2905479611,1,906793.0,3.2905479611,train_dc
5-FU,BEZ-235,A427,8.8428112257,1,910851.0,8.8428112257,train_dc
5-FU,BEZ-235,CAOV3,4.4325063513,1,,,
5-FU,BEZ-235,COLO320DM,15.6281477403,1,,,
5-FU,BEZ-235,DLD1,13.0355787543,1,,,
5-FU,BEZ-235,EFM192B,9.660318047,1,,,
