Unnamed: 0,Drug1,Drug2,Cell line,synergy,fold,index,Cosmic sample Id,Tissue,set,predict,abs_error
41838,SN-38,DINACICLIB,SK-OV-3,-19.2903712802,0,41838,905959.0,urogenital_system,test_dc,-19.290367,4.153735154943661e-06
43055,TEMOZOLOMIDE,ERLOTINIB,OV90,-0.2488094723,4,43055,1240197.0,urogenital_system,test_dc,-0.25025117,0.0014417016730834953
35603,MK-2206,DINACICLIB,OV90,6.6770370377,4,35603,1240197.0,urogenital_system,test_dc,6.680462,0.0034248458449219754
38205,MK-5108,DASATINIB,SK-OV-3,14.2141261777,1,38205,905959.0,urogenital_system,test_dc,14.208412,0.005714007289844503
17661,PACLITAXEL,BORTEZOMIB,UWB1289,-46.6799124246,4,17661,1480374.0,urogenital_system,test_dc,-46.67412,0.005790567910544553
41951,SORAFENIB,DINACICLIB,RKO,2.382687119,1,41951,909698.0,digestive_system,test_dc,2.393125,0.010437938220459131
11586,MITOMYCINE,ABT-888,HCT116,4.3672615413,4,11586,905936.0,digestive_system,test_dc,4.383028,0.015766489095507374
33301,METFORMIN,DINACICLIB,VCAP,2.4641633828,4,33301,1299075.0,urogenital_system,test_dc,2.4806545,0.016491095273120315
14145,MK-4541,SORAFENIB,RPMI7951,1.2167017877,0,14145,910903.0,skin,test_dc,1.1971918,0.01950995325023186
23383,5-FU,L778123,NCIH23,4.785807361,1,23383,905942.0,lung,test_dc,4.8062687,0.020461331016601747
11644,MITOMYCINE,AZD1775,SKMEL30,15.501172036,3,11644,909726.0,skin,test_dc,15.52456,0.023387938670410335
1488,AZD1775,MK-2206,A2058,18.8447263032,4,1488,906792.0,skin,test_dc,18.869984,0.025257369895701487
31938,L778123,MK-5108,SK-OV-3,16.0940686893,0,31938,905959.0,urogenital_system,test_dc,16.067009,0.027059717132029704
10350,METFORMIN,L778123,NCIH520,6.5326065736,0,10350,908443.0,lung,test_dc,6.5637565,0.03114989231186538
19449,SUNITINIB,MK-8669,MDAMB436,16.7636947367,4,19449,1240172.0,breast,test_dc,16.795826,0.03213122155195336
12763,MK-2206,OXALIPLATIN,HT144,-12.2398210958,4,12763,907067.0,skin,test_dc,-12.273252,0.033430437708300786
26415,CYCLOPHOSPHAMIDE,AZD1775,RPMI7951,6.2724459207,0,26415,910903.0,skin,test_dc,6.3089705,0.0365245306549804
38165,MK-5108,BORTEZOMIB,SKMES1,-21.716037831,2,38165,909728.0,lung,test_dc,-21.67598,0.04005821674218879
28440,DOXORUBICIN,BEZ-235,HCT116,8.4090712723,4,28440,905936.0,digestive_system,test_dc,8.368518,0.04055339662861357
27026,CYCLOPHOSPHAMIDE,SUNITINIB,LOVO,0.8088757055,2,27026,907790.0,digestive_system,test_dc,0.76812214,0.040753568907134996
15023,MK-5108,ABT-888,NCIH1650,-0.7652991046,1,15023,687800.0,lung,test_dc,-0.7234985,0.0418005813646789
